         관서명               ,구분,살인,강도,강간-강제추행,절도,폭력,
광주광역시경찰청,발  생  건  수,0,0,0,0,0,
광주광역시경찰청,검  거  건  수,0,1,85,0,18,
광주광역시경찰청,검  거  인  원,0,2,91,0,47,
광주광역시경찰청,구     속,0,2,11,0,6,
광주광역시경찰청,불 구 속,0,0,53,0,31,
광주광역시경찰청,기     타,0,0,27,0,10,
광주동부경찰서,발  생  건  수,2,1,66,494,677,
광주동부경찰서,검  거  건  수,2,1,61,350,642,
광주동부경찰서,검  거  인  원,2,2,60,279,880,
광주동부경찰서,구     속,2,2,3,13,21,
광주동부경찰서,불 구 속,0,0,38,241,534,
광주동부경찰서,기     타,0,0,19,25,325,
광주서부경찰서,발  생  건  수,4,3,142,1106,1366,
광주서부경찰서,검  거  건  수,3,3,133,731,1230,
광주서부경찰서,검  거  인  원,3,3,153,626,1545,
광주서부경찰서,구     속,2,3,6,24,15,
광주서부경찰서,불 구 속,0,0,91,532,967,
광주서부경찰서,기     타,1,0,56,70,563,
광주북부경찰서,발  생  건  수,2,3,146,1465,2087,
광주북부경찰서,검  거  건  수,4,3,120,971,1775,
광주북부경찰서,검  거  인  원,4,3,130,725,2388,
광주북부경찰서,구     속,3,2,14,27,16,
광주북부경찰서,불 구 속,1,1,81,598,1334,
광주북부경찰서,기     타,0,0,35,100,1038,
광주광산경찰서,발  생  건  수,1,5,125,1184,1631,
광주광산경찰서,검  거  건  수,1,4,98,798,1459,
광주광산경찰서,검  거  인  원,1,4,100,656,1998,
광주광산경찰서,구     속,1,2,11,24,11,
광주광산경찰서,불 구 속,0,2,62,561,1129,
광주광산경찰서,기     타,0,0,27,71,858,
광주남부경찰서,발  생  건  수,0,1,62,636,839,
광주남부경찰서,검  거  건  수,0,1,57,371,718,
광주남부경찰서,검  거  인  원,0,2,65,305,930,
광주남부경찰서,구     속,0,0,2,12,6,
광주남부경찰서,불 구 속,0,0,48,232,420,
광주남부경찰서,기     타,0,2,15,61,504,
