직업별,생활정도_하류,생활정도_중류,생활정도_상류,생활정도_미상,유배우자,동거,이혼,사별,혼인관계_미상,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미혼자부모관계_미상
농·임·수산업,177,143,5,76,194,13,53,11,76,24,0,2,1,1,14,0,0,12,0
제조업,47,41,10,17,61,2,6,2,17,23,0,0,0,0,2,0,0,1,1
건설업,112,124,11,93,140,6,48,2,95,25,0,0,3,1,12,0,0,8,0
도·소매업,22,28,3,17,32,1,3,0,17,12,0,0,0,1,2,0,0,2,0
무역업,8,16,1,10,14,0,3,0,10,7,0,0,0,0,1,0,0,0,0
요식업,62,95,6,52,78,6,18,2,53,52,0,0,0,0,4,0,0,2,0
숙박업,11,15,2,5,18,0,2,0,6,7,0,0,0,0,0,0,0,0,0
유흥업,38,39,3,32,24,5,10,1,32,26,0,1,4,1,7,0,0,1,0
금융업,4,9,3,3,9,0,1,0,3,6,0,0,0,0,0,0,0,0,0
부동산업,38,60,5,30,47,4,11,1,30,30,0,0,2,0,6,0,0,2,0
의료보건업,4,11,0,9,8,0,2,0,9,5,0,0,0,0,0,0,0,0,0
차량정비업,15,17,0,5,15,0,2,0,5,9,0,0,1,0,4,0,0,1,0
노점,14,6,0,15,8,4,2,0,15,3,0,0,0,0,1,0,0,2,0
행상,2,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
기타사업,823,1298,121,630,1230,47,234,31,629,495,2,3,24,4,112,1,0,59,1
교원(사립),11,62,5,16,51,3,2,4,16,9,0,0,1,0,7,0,0,1,0
사무원,13,38,0,12,24,1,2,0,12,17,0,1,1,0,4,0,0,1,0
기술자,140,134,0,67,110,11,42,5,66,66,0,0,3,3,15,0,0,19,1
점원,50,31,2,28,12,3,2,2,28,46,1,0,2,1,10,0,0,4,0
공원,68,30,1,14,33,1,10,1,14,33,0,0,3,0,9,0,1,8,0
운전사,330,231,1,188,306,13,117,7,188,68,0,0,5,0,27,0,0,19,0
경비원,105,54,0,38,90,3,22,9,39,25,0,0,2,0,4,0,0,3,0
외판원,44,37,1,27,20,2,9,0,27,37,0,0,2,1,7,0,0,3,1
국공영기업체직원,1,9,0,3,8,0,0,0,3,1,0,0,0,0,1,0,0,0,0
일반회사원,2046,3003,59,1001,2142,77,256,17,1003,2109,8,10,88,10,307,0,0,70,12
금융기관직원,7,28,5,7,24,0,0,1,7,13,0,0,0,0,2,0,0,0,0
유흥업종사자,37,26,1,28,8,2,5,1,28,37,0,1,0,3,5,0,0,2,0
요식업종사자,169,112,1,75,63,11,22,3,75,134,0,0,8,4,19,0,1,17,0
일용노동자,839,209,2,210,317,35,266,11,213,184,1,4,28,2,80,0,1,118,0
기타피고용자,1190,696,3,441,474,41,202,25,441,774,2,4,82,4,166,0,0,115,0
의사,7,49,42,40,68,0,6,2,41,19,0,0,0,0,2,0,0,0,0
변호사,0,2,0,3,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
교수,4,17,10,5,25,1,1,0,5,3,0,0,0,0,0,0,0,1,0
종교가,36,46,3,23,42,3,15,3,22,10,0,0,0,0,3,0,0,9,1
언론인,10,9,1,3,10,0,2,0,3,5,0,0,1,0,1,0,0,1,0
예술인,38,67,2,36,33,3,4,2,36,53,0,0,2,0,9,0,0,1,0
기타전문직,324,454,21,210,302,12,50,4,211,344,1,2,13,0,50,0,1,18,1
공무원,49,258,16,92,226,1,16,2,94,61,0,0,3,0,10,0,0,2,0
군인,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
학생,1505,2430,67,578,28,3,1,0,577,3399,11,17,172,30,265,1,2,61,13
주부,16,18,0,28,25,1,7,1,28,0,0,0,0,0,0,0,0,0,0
전경·의경,4,16,0,2,0,0,0,0,2,19,0,0,0,0,1,0,0,0,0
공익요원,29,47,0,15,0,0,1,0,15,65,0,0,5,0,5,0,0,0,0
무직자,3636,2001,46,1220,1280,94,566,163,1222,2355,7,33,205,29,515,3,3,412,16
미상,1028,919,40,880,666,35,209,21,878,769,3,4,43,9,140,0,2,79,9
